Date,Open,High,Low,Close,Adj Close,Volume
03-03-2016,24386.66992,24640.50977,24383.2793,24606.99023,24606.99023,19500
04-03-2016,24704.58984,24719.05078,24531.80078,24646.48047,24646.48047,17500
08-03-2016,24655.18945,24793.61914,24509.21094,24659.23047,24659.23047,26000
09-03-2016,24527.26953,24820.75977,24451.59961,24793.96094,24793.96094,11900
10-03-2016,24815.69922,24817.48047,24471.39063,24623.33984,24623.33984,14400
11-03-2016,24620.39063,24817.80078,24552.25977,24717.99023,24717.99023,14800
14-03-2016,24801.69922,24960.50977,24734.03906,24804.2793,24804.2793,30100
15-03-2016,24832.03906,24840.76953,24517.2793,24551.16992,24551.16992,12100
16-03-2016,24537.60938,24706.84961,24354.55078,24682.48047,24682.48047,11000
17-03-2016,24852.17969,24948.30078,24576.51953,24677.36914,24677.36914,14600
18-03-2016,24729.41016,24986.93945,24681.64063,24952.74023,24952.74023,14100
21-03-2016,25007.56055,25327.44922,24988.26953,25285.36914,25285.36914,12400
22-03-2016,25331.00977,25381.33008,25083.69922,25330.49023,25330.49023,12000
23-03-2016,25322.09961,25367.81055,25156.82031,25337.56055,25337.56055,9500
28-03-2016,25417.10938,25432.93945,24895.49023,24966.40039,24966.40039,10100
29-03-2016,24957.24023,25079.34961,24835.56055,24900.46094,24900.46094,11000
30-03-2016,25062.06055,25358.83984,25055.41992,25338.58008,25338.58008,10700
31-03-2016,25364.75,25479.61914,25223.2207,25341.85938,25341.85938,11500
01-04-2016,25301.69922,25354.93945,25119.34961,25269.64063,25269.64063,11400
04-04-2016,25333.98047,25424.15039,25223.49023,25399.65039,25399.65039,7800
05-04-2016,25372.43945,25372.43945,24837.50977,24883.58984,24883.58984,14800
06-04-2016,24978.85938,25000.65039,24834.16016,24900.63086,24900.63086,10300
07-04-2016,24998.78906,25013.13086,24647.48047,24685.41992,24685.41992,19200
08-04-2016,24665.80078,24736.0293,24608.50977,24673.83984,24673.83984,9700
11-04-2016,24789.40039,25049.91992,24523.19922,25022.16016,25022.16016,25900
12-04-2016,25056.4707,25180.01953,24996.43945,25145.58984,25145.58984,11500
13-04-2016,25358.41992,25671.5,25358.41992,25626.75,25626.75,14600
18-04-2016,25833.16016,25870.0293,25634.11914,25816.35938,25816.35938,8500
20-04-2016,25942.33984,25956.33984,25716.81055,25844.17969,25844.17969,11300
21-04-2016,25979.67969,26080.07031,25783.11914,25880.38086,25880.38086,18100
22-04-2016,25892.49023,25922.01953,25771.88086,25838.14063,25838.14063,13400
25-04-2016,25891.0293,25891.0293,25585.92969,25678.92969,25678.92969,8200
26-04-2016,25604.91992,26055,25549.05078,26007.30078,26007.30078,11200
27-04-2016,25956.41992,26092.92969,25885.24023,26064.11914,26064.11914,11200
28-04-2016,26078.2793,26100.53906,25561.16992,25603.09961,25603.09961,14600
29-04-2016,25612.91016,25755.42969,25424.0293,25606.61914,25606.61914,14600
02-05-2016,25565.43945,25565.43945,25341.14063,25436.9707,25436.9707,7700
03-05-2016,25500.14063,25705.96094,25192.93945,25229.69922,25229.69922,11000
04-05-2016,25210.86914,25245.69922,25061.03906,25101.73047,25101.73047,15800
05-05-2016,25187.66016,25394.09961,25162.93945,25262.21094,25262.21094,11300
06-05-2016,25223.66992,25260.48047,25057.92969,25228.5,25228.5,11300
09-05-2016,25321.83008,25709.67969,25302.85938,25688.85938,25688.85938,11700
10-05-2016,25682.98047,25809.92969,25614.24023,25772.5293,25772.5293,10500
11-05-2016,25548.9707,25762.49023,25409.24023,25597.01953,25597.01953,9300
12-05-2016,25684.59961,25827.0293,25620.26953,25790.2207,25790.2207,9800
13-05-2016,25739.93945,25743.68945,25400.26953,25489.57031,25489.57031,12500
16-05-2016,25528.80078,25688.46094,25351.61914,25653.23047,25653.23047,12900
17-05-2016,25756.14063,25927.31055,25733.75977,25773.60938,25773.60938,11400
18-05-2016,25671.48047,25747,25503.40039,25704.60938,25704.60938,9800
19-05-2016,25713.83984,25714.56055,25351.99023,25399.7207,25399.7207,14400
20-05-2016,25428.41992,25506.06055,25251.90039,25301.90039,25301.90039,13600
23-05-2016,25447.7207,25519.25977,25207.7793,25230.35938,25230.35938,11300
24-05-2016,25256.9707,25340.4707,25181.4707,25305.4707,25305.4707,10700
25-05-2016,25432.09961,25897.86914,25430.58984,25881.16992,25881.16992,9500
26-05-2016,26008.25,26398.93945,25941.50977,26366.67969,26366.67969,13900
27-05-2016,26415.92969,26677.42969,26405.2793,26653.59961,26653.59961,20800
30-05-2016,26694.75,26794.96094,26623.33008,26725.59961,26725.59961,14800
31-05-2016,26817.75,26837.19922,26561.58008,26667.96094,26667.96094,26500
01-06-2016,26684.46094,26857.25,26671.85938,26713.92969,26713.92969,13400
02-06-2016,26694.2793,26885.16016,26641.01953,26843.14063,26843.14063,11100
03-06-2016,26919.23047,27008.14063,26792.07031,26843.0293,26843.0293,13000
06-06-2016,26897.83984,26901.41992,26729.53906,26777.44922,26777.44922,8700
07-06-2016,26833.53906,27082.63086,26829.5293,27009.66992,27009.66992,14800
